IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
165.154.21.142,4,4,0.00,85.99,0.00,HKG,443
165.154.24.233,4,4,0.00,94.94,0.00,HKG,443
165.154.41.113,4,4,0.00,99.99,0.00,HKG,443
165.154.20.213,4,4,0.00,100.01,0.00,HKG,443
38.55.195.57,4,4,0.00,105.13,0.00,HKG,443
34.150.12.1,4,4,0.00,108.97,0.00,HKG,443
38.55.96.181,4,4,0.00,111.07,0.00,HKG,443
38.55.106.240,4,4,0.00,111.43,0.00,HKG,443
38.55.193.251,4,4,0.00,112.88,0.00,HKG,443
61.109.188.223,4,4,0.00,117.08,0.00,ICN,443
211.110.208.116,4,4,0.00,119.44,0.00,ICN,443
38.55.199.29,4,4,0.00,119.50,0.00,HKG,443
38.55.104.109,4,4,0.00,124.63,0.00,HKG,443
38.55.99.225,4,4,0.00,126.70,0.00,HKG,443
140.245.70.145,4,4,0.00,128.21,0.00,ICN,443
38.55.195.81,4,4,0.00,129.19,0.00,HKG,443
52.195.228.243,4,4,0.00,134.91,0.00,NRT,443
38.55.122.83,4,4,0.00,136.98,0.00,HKG,443
140.245.65.122,4,4,0.00,162.97,0.00,ICN,443
38.55.199.222,4,4,0.00,163.78,0.00,HKG,443
38.55.107.91,4,4,0.00,164.38,0.00,HKG,443
38.55.107.107,4,4,0.00,171.34,0.00,HKG,443
38.55.192.142,4,4,0.00,176.85,0.00,HKG,443
138.2.10.165,4,4,0.00,188.31,0.00,NRT,443
38.55.198.250,4,4,0.00,191.62,0.00,HKG,443
38.55.96.16,4,4,0.00,194.62,0.00,ICN,443
38.55.192.225,4,4,0.00,211.91,0.00,HKG,443
38.55.111.161,4,4,0.00,214.73,0.00,LAX,443
119.205.235.58,4,4,0.00,224.09,0.00,ICN,443
157.230.74.71,4,4,0.00,226.98,0.00,SJC,443
38.55.192.169,4,4,0.00,229.03,0.00,HKG,443
38.55.99.214,4,4,0.00,229.94,0.00,HKG,443
110.10.178.240,4,4,0.00,230.01,0.00,ICN,443
38.55.133.241,4,4,0.00,234.63,0.00,SJC,443
165.154.202.213,4,4,0.00,238.34,0.00,LAX,443
165.154.42.49,4,4,0.00,238.70,0.00,HKG,443
168.138.51.5,4,4,0.00,238.93,0.00,KIX,443
152.67.210.234,4,4,0.00,240.06,0.00,ICN,443
47.57.181.17,4,4,0.00,240.89,0.00,SJC,443
138.2.44.32,4,4,0.00,244.26,0.00,KIX,443
138.2.122.191,4,4,0.00,244.33,0.00,ICN,443
61.109.188.221,4,4,0.00,248.56,0.00,ICN,443
140.245.71.104,4,4,0.00,252.75,0.00,ICN,443
45.192.206.83,4,4,0.00,255.36,0.00,NRT,443
38.55.104.108,4,4,0.00,255.46,0.00,HKG,443
38.55.199.86,4,4,0.00,258.77,0.00,HKG,443
152.175.67.191,4,4,0.00,262.10,0.00,SIN,443
107.148.118.151,4,4,0.00,264.73,0.00,NRT,443
167.179.115.135,4,4,0.00,279.87,0.00,NRT,443
38.55.108.5,4,4,0.00,285.53,0.00,LAX,443
38.244.2.14,4,4,0.00,292.04,0.00,LAX,443
38.55.194.187,4,4,0.00,292.93,0.00,HKG,443
117.55.239.57,4,4,0.00,293.33,0.00,LAX,443
38.55.106.154,4,4,0.00,293.49,0.00,HKG,443
38.55.192.202,4,4,0.00,295.23,0.00,HKG,443
147.90.229.163,4,4,0.00,299.01,0.00,DUS,443
154.41.80.59,4,4,0.00,300.51,0.00,LAX,443
82.139.221.140,4,4,0.00,303.96,0.00,FRA,443
168.138.165.174,4,4,0.00,304.49,0.00,SIN,443
138.2.95.33,4,4,0.00,309.99,0.00,SIN,443
168.138.221.12,4,4,0.00,310.87,0.00,NRT,443
138.2.110.111,4,4,0.00,313.26,0.00,SIN,443
89.40.117.143,4,4,0.00,315.36,0.00,FRA,443
139.59.178.6,4,4,0.00,315.44,0.00,LHR,443
85.136.181.194,4,4,0.00,315.45,0.00,AMS,443
157.230.81.23,4,4,0.00,316.12,0.00,EWR,443
38.55.198.210,4,4,0.00,317.55,0.00,HKG,443
138.2.76.34,4,4,0.00,318.68,0.00,SIN,443
139.59.186.121,4,4,0.00,319.23,0.00,LHR,443
217.154.53.220,4,4,0.00,319.36,0.00,LHR,443
195.54.33.164,4,4,0.00,319.38,0.00,FRA,443
89.125.85.228,4,4,0.00,320.83,0.00,AMS,443
212.43.158.216,4,4,0.00,322.29,0.00,FRA,443
217.11.166.57,4,4,0.00,323.87,0.00,FRA,443
140.245.104.189,4,4,0.00,324.58,0.00,SIN,443
185.248.143.21,4,4,0.00,325.53,0.00,FRA,443
139.59.177.252,4,4,0.00,328.29,0.00,LHR,443
140.245.103.72,4,4,0.00,330.03,0.00,SIN,443
157.230.103.183,4,4,0.00,333.92,0.00,FRA,443
