IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
54.238.237.167,4,4,0.00,257.44,0.00,LAX,443
3.112.198.83,4,4,0.00,260.76,0.00,LAX,443
54.238.43.23,4,4,0.00,262.29,0.00,LAX,443
3.112.219.69,4,4,0.00,268.34,0.00,LAX,443
54.65.224.78,4,4,0.00,268.39,0.00,LAX,443
52.195.18.120,4,4,0.00,270.73,0.00,LAX,443
18.183.109.205,4,4,0.00,271.31,0.00,LAX,443
57.182.103.115,4,4,0.00,272.61,0.00,LAX,443
54.248.227.16,4,4,0.00,272.83,0.00,LAX,443
43.207.130.241,4,4,0.00,274.43,0.00,LAX,443
43.207.131.6,4,4,0.00,274.64,0.00,LAX,443
13.114.54.191,4,4,0.00,274.89,0.00,LAX,443
52.197.247.0,4,4,0.00,275.18,0.00,LAX,443
52.195.211.96,4,4,0.00,275.21,0.00,LAX,443
54.65.20.242,4,4,0.00,275.43,0.00,LAX,443
52.196.205.49,4,4,0.00,285.04,0.00,LAX,443
3.112.206.23,4,4,0.00,411.98,0.00,LAX,443
