IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
149.28.19.8,4,4,0.00,190.26,0.00,NRT,443
45.32.248.168,4,4,0.00,191.65,0.00,NRT,443
202.182.125.218,4,4,0.00,192.90,0.00,NRT,443
45.32.28.109,4,4,0.00,193.29,0.00,NRT,443
45.32.38.133,4,4,0.00,194.39,0.00,NRT,443
45.77.130.24,4,4,0.00,194.92,0.00,NRT,443
45.77.129.201,4,4,0.00,195.26,0.00,NRT,443
207.148.114.119,4,4,0.00,195.93,0.00,NRT,443
45.76.54.195,4,4,0.00,195.98,0.00,NRT,443
207.148.115.152,4,4,0.00,196.00,0.00,NRT,443
198.13.53.115,4,4,0.00,198.63,0.00,NRT,443
45.32.248.233,4,4,0.00,199.30,0.00,NRT,443
45.77.24.82,4,4,0.00,201.13,0.00,NRT,443
45.76.97.162,4,4,0.00,201.49,0.00,NRT,443
108.61.160.16,4,4,0.00,203.44,0.00,NRT,443
108.61.163.117,4,4,0.00,207.51,0.00,NRT,443
108.160.136.71,4,4,0.00,227.91,0.00,NRT,443
149.28.26.137,4,4,0.00,234.78,0.00,NRT,443
149.28.135.30,4,4,0.00,235.37,0.00,SIN,443
45.77.173.72,4,4,0.00,247.75,0.00,SIN,443
149.28.159.88,4,4,0.00,254.72,0.00,SIN,443
45.76.3.36,4,4,0.00,260.26,0.00,EWR,443
45.77.155.111,4,4,0.00,266.93,0.00,EWR,443
104.207.130.92,4,4,0.00,294.61,0.00,FRA,443
70.34.214.205,4,4,0.00,298.60,0.00,ARN,443
45.76.206.46,4,4,0.00,301.89,0.00,NRT,443
45.76.207.134,4,4,0.00,303.66,0.00,NRT,443
80.240.27.79,4,4,0.00,304.04,0.00,FRA,443
95.179.248.158,4,4,0.00,304.70,0.00,FRA,443
140.82.39.133,4,4,0.00,308.10,0.00,FRA,443
45.77.130.6,4,4,0.00,347.28,0.00,NRT,443
45.77.11.68,4,4,0.00,348.30,0.00,NRT,443
103.43.75.82,4,4,0.00,350.82,0.00,SYD,443
198.13.33.64,4,4,0.00,359.49,0.00,NRT,443
139.180.135.10,4,4,0.00,375.30,0.00,SIN,443
45.32.250.130,4,4,0.00,413.54,0.00,NRT,443
45.76.172.125,4,4,0.00,511.29,0.00,LAX,443
66.42.110.153,4,4,0.00,523.63,0.00,LAX,443
104.156.238.23,4,4,0.00,541.85,0.00,NRT,443
45.32.31.218,4,3,0.25,575.77,0.00,NRT,443
