IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
219.79.80.205,4,4,0.00,69.32,0.00,HKG,443
110.10.178.240,4,4,0.00,106.15,0.00,ICN,443
152.67.210.234,4,4,0.00,109.28,0.00,ICN,443
61.109.188.223,4,4,0.00,112.17,0.00,ICN,443
211.110.208.116,4,4,0.00,115.10,0.00,ICN,443
211.49.57.134,4,4,0.00,120.06,0.00,ICN,443
61.109.188.221,4,4,0.00,133.76,0.00,ICN,443
20.6.12.145,4,4,0.00,157.93,0.00,SIN,443
45.192.206.83,4,4,0.00,170.34,0.00,NRT,443
207.148.99.230,4,4,0.00,186.74,0.00,NRT,443
43.156.116.194,4,4,0.00,199.82,0.00,SIN,443
107.191.53.228,4,4,0.00,221.69,0.00,NRT,443
152.175.67.191,4,4,0.00,221.85,0.00,SIN,443
165.232.51.34,4,4,0.00,224.97,0.00,SJC,443
13.193.216.180,4,4,0.00,232.33,0.00,NRT,443
168.138.46.67,4,4,0.00,232.61,0.00,KIX,443
38.244.45.74,4,4,0.00,235.77,0.00,LAX,443
38.65.9.110,4,4,0.00,239.38,0.00,LAX,443
82.139.221.140,4,4,0.00,245.14,0.00,FRA,443
198.52.244.111,4,4,0.00,246.22,0.00,LAX,443
47.236.119.109,4,4,0.00,247.35,0.00,SIN,443
5.34.180.230,4,4,0.00,247.45,0.00,AMS,443
64.176.54.102,4,4,0.00,248.41,0.00,KIX,443
88.214.26.247,4,4,0.00,248.86,0.00,FRA,443
47.84.54.115,4,4,0.00,256.05,0.00,SIN,443
89.168.110.240,4,4,0.00,259.58,0.00,FRA,443
185.186.246.8,4,4,0.00,263.72,0.00,AMS,443
87.106.65.110,4,4,0.00,270.16,0.00,LHR,443
82.165.20.186,4,4,0.00,271.49,0.00,TXL,443
85.121.124.8,4,4,0.00,278.43,0.00,FRA,443
45.82.177.56,4,4,0.00,279.10,0.00,AMS,443
78.129.165.129,4,4,0.00,279.61,0.00,LHR,443
85.121.53.39,4,4,0.00,280.62,0.00,FRA,443
185.204.52.78,4,4,0.00,285.97,0.00,AMS,443
107.148.118.151,4,4,0.00,286.93,0.00,NRT,443
185.239.71.145,4,4,0.00,290.09,0.00,AMS,443
85.136.181.194,4,4,0.00,293.59,0.00,AMS,443
154.41.80.90,4,4,0.00,294.12,0.00,LAX,443
130.185.144.78,4,4,0.00,296.56,0.00,LHR,443
204.44.74.241,4,4,0.00,297.29,0.00,BUF,443
45.151.106.65,4,4,0.00,298.79,0.00,AMS,443
168.138.165.174,4,4,0.00,299.35,0.00,SIN,443
138.2.87.237,4,4,0.00,303.26,0.00,SIN,443
217.177.11.81,4,4,0.00,308.11,0.00,AMS,443
147.90.229.163,4,4,0.00,309.30,0.00,DUS,443
95.81.98.147,4,4,0.00,311.27,0.00,AMS,443
185.248.143.21,4,4,0.00,312.01,0.00,FRA,443
222.167.252.174,4,4,0.00,317.91,0.00,FRA,443
78.17.102.222,4,4,0.00,319.19,0.00,FRA,443
176.119.141.145,4,4,0.00,319.81,0.00,AMS,443
117.55.228.179,4,4,0.00,320.84,0.00,LAX,443
45.147.199.13,4,4,0.00,320.96,0.00,AMS,443
169.40.138.79,4,4,0.00,323.78,0.00,TXL,443
2.56.212.172,4,4,0.00,328.53,0.00,AMS,443
5.129.209.192,4,4,0.00,331.00,0.00,AMS,443
89.40.117.143,4,4,0.00,335.83,0.00,FRA,443
43.170.8.95,4,4,0.00,337.24,0.00,NRT,443
195.245.239.124,4,4,0.00,337.75,0.00,FRA,443
78.17.126.61,4,4,0.00,338.04,0.00,AMS,443
168.138.189.91,4,4,0.00,338.22,0.00,SIN,443
109.73.204.202,4,4,0.00,339.29,0.00,AMS,443
31.76.96.60,4,4,0.00,339.93,0.00,FRA,443
185.209.82.152,4,4,0.00,341.38,0.00,FRA,443
43.160.238.73,4,4,0.00,342.96,0.00,SIN,443
150.109.11.223,4,4,0.00,344.14,0.00,SIN,443
2.26.138.203,4,4,0.00,344.42,0.00,AMS,443
103.31.76.16,4,4,0.00,344.60,0.00,FRA,443
5.253.188.137,4,4,0.00,345.81,0.00,FRA,443
8.219.155.125,4,4,0.00,346.89,0.00,NRT,443
178.17.48.78,4,4,0.00,347.69,0.00,FRA,443
157.22.178.119,4,4,0.00,350.25,0.00,AMS,443
185.167.96.18,4,4,0.00,353.32,0.00,DUS,443
87.106.198.216,4,4,0.00,359.34,0.00,FRA,443
178.105.227.210,4,4,0.00,359.96,0.00,CDG,443
185.233.184.70,4,4,0.00,361.95,0.00,AMS,443
178.17.48.96,4,4,0.00,364.46,0.00,FRA,443
185.186.245.90,4,4,0.00,369.16,0.00,DFW,443
165.22.253.232,4,4,0.00,393.88,0.00,SIN,443
188.166.245.164,4,4,0.00,402.89,0.00,SIN,443
168.144.46.234,4,4,0.00,403.86,0.00,SIN,443
128.199.128.117,4,4,0.00,403.87,0.00,SIN,443
167.172.75.2,4,4,0.00,404.41,0.00,SIN,443
178.128.90.108,4,4,0.00,405.26,0.00,SIN,443
129.212.225.217,4,4,0.00,406.09,0.00,SIN,443
209.97.163.209,4,4,0.00,406.55,0.00,SIN,443
129.212.239.183,4,4,0.00,406.66,0.00,SIN,443
152.42.235.119,4,4,0.00,406.66,0.00,SIN,443
157.230.254.79,4,4,0.00,411.16,0.00,SIN,443
178.128.125.147,4,4,0.00,412.50,0.00,SIN,443
167.71.203.125,4,4,0.00,412.98,0.00,SIN,443
143.198.213.81,4,4,0.00,413.88,0.00,SIN,443
188.239.9.91,4,4,0.00,414.72,0.00,SIN,443
165.245.178.114,4,4,0.00,417.48,0.00,SIN,443
167.71.222.177,4,4,0.00,418.99,0.00,SIN,443
5.129.232.117,4,4,0.00,421.21,0.00,AMS,443
174.138.27.228,4,4,0.00,421.63,0.00,SIN,443
152.42.196.47,4,4,0.00,422.50,0.00,SIN,443
167.172.65.175,4,4,0.00,423.99,0.00,SIN,443
167.71.199.136,4,4,0.00,424.00,0.00,SIN,443
165.245.182.116,4,4,0.00,425.61,0.00,SIN,443
165.245.181.78,4,4,0.00,427.83,0.00,SIN,443
134.209.106.237,4,4,0.00,427.86,0.00,SIN,443
152.42.232.41,4,4,0.00,428.52,0.00,SIN,443
165.232.175.180,4,4,0.00,428.54,0.00,SIN,443
174.138.17.183,4,4,0.00,429.13,0.00,SIN,443
128.199.255.242,4,4,0.00,434.45,0.00,SIN,443
167.172.68.31,4,4,0.00,434.76,0.00,SIN,443
178.128.86.3,4,4,0.00,437.67,0.00,SIN,443
146.190.102.51,4,4,0.00,438.30,0.00,SIN,443
68.183.230.164,4,4,0.00,441.82,0.00,SIN,443
45.135.58.68,4,4,0.00,441.89,0.00,AMS,443
178.128.97.53,4,4,0.00,442.78,0.00,SIN,443
5.230.57.136,4,4,0.00,460.79,0.00,FRA,443
64.181.247.243,4,4,0.00,462.73,0.00,SJC,443
91.232.114.118,4,4,0.00,463.19,0.00,AMS,443
82.27.117.30,4,4,0.00,496.52,0.00,AMS,443
217.154.53.220,4,4,0.00,512.13,0.00,LHR,443
188.166.236.153,4,4,0.00,514.93,0.00,SIN,443
47.82.155.79,4,4,0.00,515.11,0.00,SIN,443
134.209.103.4,4,4,0.00,520.96,0.00,SIN,443
152.42.246.237,4,4,0.00,524.75,0.00,SIN,443
206.189.152.133,4,4,0.00,528.06,0.00,SIN,443
167.71.219.37,4,4,0.00,538.12,0.00,SIN,443
128.199.82.20,4,4,0.00,539.41,0.00,SIN,443
134.209.101.154,4,4,0.00,552.14,0.00,SIN,443
94.177.231.152,4,4,0.00,575.09,0.00,FRA,443
8.219.195.31,4,4,0.00,598.50,0.00,NRT,443
159.65.143.223,4,4,0.00,604.91,0.00,SIN,443
8.222.185.236,4,4,0.00,621.13,0.00,NRT,443
66.42.61.215,4,4,0.00,628.72,0.00,SIN,443
134.209.102.229,4,4,0.00,630.52,0.00,SIN,443
168.144.36.249,4,4,0.00,642.03,0.00,SIN,443
143.198.209.123,4,4,0.00,654.36,0.00,SIN,443
143.42.66.91,4,4,0.00,655.43,0.00,SIN,443
129.212.229.240,4,3,0.25,665.41,0.00,SIN,443
143.198.213.40,4,4,0.00,697.04,0.00,SIN,443
139.59.115.38,4,4,0.00,710.18,0.00,SIN,443
167.99.77.156,4,4,0.00,711.69,0.00,SIN,443
165.22.99.110,4,4,0.00,719.35,0.00,SIN,443
165.232.165.200,4,4,0.00,727.85,0.00,SIN,443
139.180.159.133,4,4,0.00,743.79,0.00,SIN,443
152.42.199.134,4,4,0.00,784.28,0.00,SIN,443
206.189.147.193,4,2,0.50,819.75,0.00,SIN,443
43.156.181.203,4,4,0.00,827.20,0.00,SIN,443
188.166.247.45,4,4,0.00,894.12,0.00,SIN,443
178.128.60.89,4,4,0.00,924.44,0.00,SIN,443
