IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
52.196.199.221,4,4,0.00,131.68,0.00,NRT,443
52.196.184.224,4,4,0.00,132.50,0.00,NRT,443
54.248.41.45,4,4,0.00,135.31,0.00,NRT,443
52.196.161.169,4,4,0.00,136.34,0.00,NRT,443
54.65.218.189,4,4,0.00,140.03,0.00,NRT,443
13.114.101.22,4,4,0.00,145.71,0.00,NRT,443
3.112.41.210,4,4,0.00,145.98,0.00,NRT,443
52.197.221.186,4,4,0.00,148.53,0.00,NRT,443
52.195.211.175,4,4,0.00,154.18,0.00,NRT,443
18.183.109.205,4,3,0.25,156.59,0.00,NRT,443
35.75.82.176,4,4,0.00,160.39,0.00,NRT,443
13.114.31.181,4,4,0.00,162.88,0.00,NRT,443
3.112.67.101,4,4,0.00,179.70,0.00,NRT,443
18.183.49.46,4,4,0.00,183.01,0.00,NRT,443
54.65.20.242,4,4,0.00,183.13,0.00,NRT,443
54.238.237.167,4,4,0.00,186.19,0.00,NRT,443
54.248.177.247,4,4,0.00,186.97,0.00,NRT,443
52.195.228.243,4,3,0.25,199.77,0.00,NRT,443
43.207.122.183,4,3,0.25,252.18,0.00,NRT,443
