IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
178.157.61.51,4,4,0.00,125.49,0.00,KIX,443
172.93.32.181,4,4,0.00,221.35,0.00,YVR,443
45.62.120.254,4,4,0.00,349.98,0.00,AMS,443
