IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
165.154.24.233,4,4,0.00,79.82,0.00,HKG,443
165.154.41.113,4,4,0.00,85.70,0.00,HKG,443
165.154.21.142,4,4,0.00,86.85,0.00,HKG,443
38.55.193.251,4,4,0.00,90.60,0.00,HKG,443
38.55.195.75,4,4,0.00,94.83,0.00,HKG,443
165.154.20.213,4,4,0.00,103.92,0.00,HKG,443
38.55.106.154,4,4,0.00,106.81,0.00,HKG,443
38.55.199.222,4,4,0.00,107.67,0.00,HKG,443
38.55.195.81,4,4,0.00,109.14,0.00,HKG,443
38.55.107.91,4,4,0.00,109.22,0.00,HKG,443
140.245.65.122,4,4,0.00,111.40,0.00,ICN,443
38.55.199.128,4,4,0.00,112.46,0.00,HKG,443
38.55.198.210,4,4,0.00,118.00,0.00,HKG,443
211.110.208.116,4,4,0.00,120.15,0.00,ICN,443
38.55.104.108,4,4,0.00,122.98,0.00,HKG,443
140.245.70.145,4,4,0.00,125.39,0.00,ICN,443
38.55.199.29,4,4,0.00,126.27,0.00,HKG,443
38.55.198.250,4,4,0.00,127.15,0.00,HKG,443
38.55.96.181,4,4,0.00,131.04,0.00,HKG,443
38.55.192.142,4,4,0.00,143.75,0.00,HKG,443
38.55.199.86,4,4,0.00,151.12,0.00,HKG,443
61.109.188.223,4,4,0.00,157.04,0.00,ICN,443
138.2.122.191,4,4,0.00,158.84,0.00,ICN,443
168.138.221.12,4,4,0.00,167.66,0.00,NRT,443
152.175.67.191,4,4,0.00,177.92,0.00,SIN,443
38.55.195.57,4,4,0.00,181.77,0.00,HKG,443
107.148.118.151,4,4,0.00,185.00,0.00,NRT,443
140.245.71.104,4,4,0.00,191.92,0.00,ICN,443
38.55.96.16,4,4,0.00,205.00,0.00,ICN,443
38.55.111.161,4,4,0.00,213.77,0.00,LAX,443
152.67.210.234,4,4,0.00,219.47,0.00,ICN,443
38.55.194.187,4,4,0.00,224.87,0.00,HKG,443
119.205.235.58,4,4,0.00,225.18,0.00,ICN,443
38.55.107.107,4,4,0.00,229.97,0.00,HKG,443
38.55.104.109,4,4,0.00,229.98,0.00,HKG,443
38.55.133.241,4,4,0.00,234.03,0.00,SJC,443
157.230.74.71,4,4,0.00,237.19,0.00,SJC,443
38.55.108.5,4,4,0.00,237.21,0.00,LAX,443
165.154.173.228,4,4,0.00,245.70,0.00,LAX,443
38.55.105.44,4,4,0.00,251.84,0.00,SEA,443
38.55.192.225,4,4,0.00,254.98,0.00,HKG,443
38.55.106.240,4,4,0.00,258.44,0.00,HKG,443
165.154.202.213,4,4,0.00,268.81,0.00,SJC,443
82.139.221.140,4,4,0.00,278.89,0.00,FRA,443
117.55.239.57,4,4,0.00,282.19,0.00,LAX,443
140.245.114.190,4,4,0.00,306.29,0.00,SIN,443
168.138.193.193,4,4,0.00,306.36,0.00,NRT,443
34.150.12.1,4,4,0.00,306.58,0.00,HKG,443
67.220.80.246,4,4,0.00,306.74,0.00,DUS,443
167.179.115.135,4,4,0.00,313.35,0.00,NRT,443
140.245.127.48,4,4,0.00,314.14,0.00,SIN,443
117.55.228.179,4,4,0.00,317.41,0.00,LAX,443
61.109.188.221,4,4,0.00,318.30,0.00,ICN,443
38.244.2.14,4,4,0.00,323.63,0.00,PDX,443
165.154.255.209,4,4,0.00,328.49,0.00,YYZ,443
147.90.229.163,4,4,0.00,334.22,0.00,DUS,443
139.59.142.185,4,4,0.00,336.13,0.00,FRA,443
38.55.99.214,4,4,0.00,351.15,0.00,HKG,443
139.59.190.23,4,4,0.00,353.42,0.00,LHR,443
78.17.126.61,4,4,0.00,361.89,0.00,AMS,443
89.40.117.143,4,4,0.00,369.58,0.00,FRA,443
52.195.228.243,4,4,0.00,370.61,0.00,NRT,443
165.154.194.32,4,4,0.00,384.59,0.00,TPE,443
89.40.117.130,4,4,0.00,400.20,0.00,FRA,443
139.59.101.96,4,4,0.00,408.14,0.00,SIN,443
157.230.248.19,4,4,0.00,419.22,0.00,SIN,443
165.154.42.49,4,4,0.00,419.75,0.00,HKG,443
168.144.47.140,4,4,0.00,426.65,0.00,SIN,443
176.119.141.145,4,4,0.00,435.44,0.00,AMS,443
61.13.236.181,4,4,0.00,452.37,0.00,SIN,443
139.59.231.131,4,4,0.00,452.45,0.00,SIN,443
168.144.47.94,4,4,0.00,452.68,0.00,SIN,443
188.166.245.164,4,4,0.00,474.67,0.00,SIN,443
139.59.34.159,4,4,0.00,484.35,0.00,BOM,443
85.136.181.194,4,4,0.00,491.34,0.00,AMS,443
140.245.58.23,4,4,0.00,515.03,0.00,SIN,443
47.57.181.17,4,4,0.00,540.61,0.00,SJC,443
139.59.134.132,4,4,0.00,551.81,0.00,FRA,443
195.54.33.164,4,4,0.00,569.11,0.00,FRA,443
185.209.82.152,4,4,0.00,584.62,0.00,FRA,443
38.55.99.225,4,4,0.00,605.70,0.00,HKG,443
157.230.110.242,4,4,0.00,637.69,0.00,FRA,443
157.230.107.183,4,4,0.00,658.73,0.00,FRA,443
212.43.158.216,4,4,0.00,674.25,0.00,FRA,443
157.230.103.183,4,4,0.00,696.97,0.00,FRA,443
168.144.44.84,4,4,0.00,704.42,0.00,SIN,443
159.65.141.109,4,4,0.00,708.59,0.00,SIN,443
157.230.248.87,4,4,0.00,717.31,0.00,SIN,443
152.42.246.237,4,4,0.00,733.20,0.00,SIN,443
139.59.177.252,4,4,0.00,788.16,0.00,LHR,443
94.177.231.152,4,4,0.00,866.90,0.00,FRA,443
