IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
165.154.24.233,4,4,0.00,83.42,0.00,HKG,443
165.154.20.213,4,4,0.00,86.96,0.00,HKG,443
165.154.41.113,4,4,0.00,87.96,0.00,HKG,443
211.110.208.116,4,4,0.00,96.46,0.00,ICN,443
38.55.199.29,4,4,0.00,98.53,0.00,HKG,443
61.109.188.223,4,4,0.00,103.82,0.00,ICN,443
140.245.65.122,4,4,0.00,110.78,0.00,ICN,443
138.2.122.191,4,4,0.00,112.70,0.00,ICN,443
61.109.188.221,4,4,0.00,120.37,0.00,ICN,443
107.148.118.151,4,4,0.00,148.54,0.00,NRT,443
38.55.122.229,4,4,0.00,148.58,0.00,SIN,443
165.154.21.142,4,4,0.00,155.78,0.00,HKG,443
110.10.178.240,4,4,0.00,163.40,0.00,ICN,443
138.2.31.37,4,4,0.00,177.19,0.00,NRT,443
34.150.12.1,4,4,0.00,177.42,0.00,HKG,443
140.245.71.104,4,4,0.00,184.81,0.00,ICN,443
119.205.235.58,4,4,0.00,206.77,0.00,ICN,443
168.138.51.5,4,4,0.00,223.70,0.00,KIX,443
117.55.228.179,4,4,0.00,231.43,0.00,LAX,443
38.55.192.169,4,4,0.00,236.47,0.00,HKG,443
138.2.44.32,4,4,0.00,241.48,0.00,KIX,443
82.139.221.140,4,4,0.00,249.53,0.00,FRA,443
165.154.42.49,4,4,0.00,250.24,0.00,HKG,443
38.244.2.14,4,4,0.00,251.47,0.00,LAX,443
38.244.45.74,4,4,0.00,252.49,0.00,LAX,443
152.67.210.234,4,4,0.00,258.08,0.00,ICN,443
154.41.80.59,4,4,0.00,265.67,0.00,LAX,443
95.182.94.210,4,4,0.00,267.79,0.00,MCI,443
52.195.228.243,4,4,0.00,268.20,0.00,NRT,443
152.175.67.191,4,4,0.00,272.83,0.00,SIN,443
195.54.33.164,4,4,0.00,276.77,0.00,FRA,443
165.154.173.228,4,4,0.00,284.60,0.00,LAX,443
140.245.127.48,4,4,0.00,288.96,0.00,SIN,443
168.138.221.12,4,4,0.00,291.81,0.00,NRT,443
138.2.95.33,4,4,0.00,300.38,0.00,SIN,443
138.2.110.111,4,4,0.00,300.70,0.00,SIN,443
165.154.235.132,4,4,0.00,302.17,0.00,SAN,443
168.138.165.174,4,4,0.00,304.96,0.00,SIN,443
140.235.74.26,4,4,0.00,306.51,0.00,LHR,443
217.154.53.220,4,4,0.00,307.76,0.00,LHR,443
85.136.181.194,4,4,0.00,311.34,0.00,AMS,443
94.177.231.152,4,4,0.00,315.24,0.00,FRA,443
89.40.117.130,4,4,0.00,318.94,0.00,FRA,443
185.248.143.21,4,4,0.00,320.12,0.00,FRA,443
140.245.97.215,4,4,0.00,320.48,0.00,SIN,443
89.40.117.143,4,4,0.00,322.42,0.00,FRA,443
138.2.76.34,4,4,0.00,324.25,0.00,SIN,443
5.230.57.136,4,4,0.00,325.71,0.00,FRA,443
212.43.158.216,4,4,0.00,329.96,0.00,FRA,443
78.17.102.222,4,4,0.00,332.29,0.00,FRA,443
176.119.141.145,4,4,0.00,334.83,0.00,AMS,443
138.2.66.236,4,4,0.00,338.13,0.00,SIN,443
140.245.103.72,4,4,0.00,338.61,0.00,SIN,443
89.125.85.228,4,4,0.00,340.95,0.00,AMS,443
78.17.126.61,4,4,0.00,346.37,0.00,AMS,443
165.154.255.209,4,4,0.00,368.83,0.00,LAX,443
167.179.115.135,4,4,0.00,389.93,0.00,NRT,443
140.245.114.190,4,4,0.00,397.82,0.00,SIN,443
43.170.38.62,4,4,0.00,400.29,0.00,SIN,443
165.154.194.32,4,4,0.00,403.21,0.00,TPE,443
140.245.44.94,4,4,0.00,406.17,0.00,SIN,443
157.228.130.240,4,4,0.00,406.41,0.00,SIN,443
168.144.33.23,4,4,0.00,412.57,0.00,SIN,443
168.144.44.84,4,4,0.00,413.97,0.00,SIN,443
168.144.46.234,4,4,0.00,419.37,0.00,SIN,443
61.13.236.181,4,4,0.00,424.47,0.00,SIN,443
165.154.202.213,4,4,0.00,431.84,0.00,LAX,443
138.2.10.165,4,4,0.00,447.54,0.00,NRT,443
138.2.59.112,4,4,0.00,469.83,0.00,KIX,443
140.245.104.189,4,4,0.00,481.41,0.00,SIN,443
140.245.45.233,4,4,0.00,485.16,0.00,SIN,443
38.55.192.202,4,4,0.00,504.13,0.00,HKG,443
165.154.230.228,4,4,0.00,532.88,0.00,ICN,443
168.138.176.180,4,4,0.00,586.88,0.00,SIN,443
185.209.82.152,4,4,0.00,603.82,0.00,FRA,443
165.154.241.192,4,4,0.00,651.99,0.00,NRT,443
47.57.181.17,4,4,0.00,673.22,0.00,SJC,443
168.144.47.140,4,3,0.25,682.04,0.00,SIN,443
140.245.58.23,4,4,0.00,715.40,0.00,SIN,443
222.167.252.174,4,4,0.00,767.11,0.00,FRA,443
117.55.239.57,4,4,0.00,789.88,0.00,LAX,443
