IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
52.197.221.186,4,4,0.00,145.60,0.00,NRT,443
52.196.184.224,4,4,0.00,151.10,0.00,NRT,443
52.196.161.169,4,4,0.00,153.62,0.00,NRT,443
13.231.142.11,4,4,0.00,154.54,0.00,NRT,443
54.65.218.189,4,4,0.00,175.07,0.00,NRT,443
52.195.228.243,4,4,0.00,176.98,0.00,NRT,443
18.183.109.205,4,4,0.00,177.46,0.00,NRT,443
54.248.147.134,4,4,0.00,177.97,0.00,NRT,443
52.195.163.105,4,4,0.00,180.00,0.00,NRT,443
54.65.230.253,4,4,0.00,181.64,0.00,NRT,443
13.114.31.181,4,4,0.00,196.06,0.00,NRT,443
54.248.41.45,4,4,0.00,203.81,0.00,NRT,443
57.180.23.249,4,4,0.00,203.98,0.00,NRT,443
54.238.178.84,4,4,0.00,204.57,0.00,NRT,443
35.79.21.45,4,4,0.00,204.82,0.00,NRT,443
54.65.20.242,4,4,0.00,208.73,0.00,NRT,443
54.238.237.167,4,4,0.00,208.92,0.00,NRT,443
54.95.214.241,4,4,0.00,208.96,0.00,NRT,443
18.183.49.46,4,4,0.00,213.29,0.00,NRT,443
43.207.130.241,4,4,0.00,217.58,0.00,NRT,443
52.196.199.221,4,4,0.00,256.67,0.00,NRT,443
