IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
168.144.44.150,4,4,0.00,124.45,0.00,SIN,443
168.144.47.140,4,4,0.00,126.42,0.00,SIN,443
168.144.44.144,4,4,0.00,130.55,0.00,SIN,443
168.144.33.23,4,4,0.00,132.29,0.00,SIN,443
168.144.33.100,4,4,0.00,137.08,0.00,SIN,443
168.144.41.69,4,4,0.00,139.34,0.00,SIN,443
139.59.97.194,4,4,0.00,141.19,0.00,SIN,443
168.144.46.234,4,4,0.00,143.41,0.00,SIN,443
168.144.36.249,4,4,0.00,146.27,0.00,SIN,443
168.144.39.64,4,4,0.00,151.17,0.00,SIN,443
168.144.44.84,4,4,0.00,170.16,0.00,SIN,443
168.144.32.180,4,4,0.00,173.37,0.00,SIN,443
168.144.47.94,4,4,0.00,173.87,0.00,SIN,443
139.59.102.170,4,4,0.00,176.90,0.00,SIN,443
139.59.106.136,4,4,0.00,189.62,0.00,SIN,443
168.144.35.68,4,4,0.00,278.43,0.00,SIN,443
