IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
165.154.20.213,4,4,0.00,58.66,0.00,HKG,443
165.154.41.113,4,4,0.00,73.08,0.00,HKG,443
165.154.24.233,4,4,0.00,75.91,0.00,HKG,443
165.154.21.142,4,4,0.00,80.07,0.00,HKG,443
38.55.96.181,4,4,0.00,96.56,0.00,HKG,443
38.55.99.214,4,4,0.00,101.35,0.00,HKG,443
38.55.195.57,4,4,0.00,102.72,0.00,HKG,443
38.55.106.154,4,4,0.00,106.31,0.00,HKG,443
52.195.228.243,4,4,0.00,109.71,0.00,NRT,443
38.55.198.250,4,4,0.00,111.05,0.00,HKG,443
140.245.71.104,4,4,0.00,115.62,0.00,ICN,443
38.55.199.86,4,4,0.00,119.00,0.00,HKG,443
140.245.70.145,4,4,0.00,120.04,0.00,ICN,443
38.55.195.81,4,4,0.00,121.03,0.00,HKG,443
38.55.107.107,4,4,0.00,125.05,0.00,HKG,443
38.55.193.251,4,4,0.00,131.63,0.00,HKG,443
38.55.104.109,4,4,0.00,132.39,0.00,HKG,443
38.55.192.142,4,4,0.00,133.59,0.00,HKG,443
38.55.198.210,4,4,0.00,141.84,0.00,HKG,443
38.55.199.29,4,4,0.00,148.64,0.00,HKG,443
38.55.192.225,4,4,0.00,150.25,0.00,HKG,443
38.55.199.128,4,4,0.00,154.85,0.00,HKG,443
38.55.199.222,4,4,0.00,155.56,0.00,HKG,443
168.138.193.193,4,4,0.00,164.10,0.00,NRT,443
152.67.210.234,4,4,0.00,166.34,0.00,ICN,443
38.55.96.16,4,4,0.00,172.34,0.00,ICN,443
38.55.195.75,4,4,0.00,175.32,0.00,HKG,443
138.2.10.165,4,4,0.00,179.23,0.00,NRT,443
38.55.104.108,4,4,0.00,191.87,0.00,HKG,443
38.55.111.161,4,4,0.00,218.60,0.00,LAX,443
38.55.122.83,4,4,0.00,218.67,0.00,HKG,443
138.2.30.150,4,4,0.00,225.03,0.00,NRT,443
38.55.107.91,4,4,0.00,225.95,0.00,HKG,443
165.154.255.209,4,4,0.00,228.63,0.00,LAX,443
38.55.108.22,4,4,0.00,233.12,0.00,LAX,443
165.154.173.228,4,4,0.00,233.23,0.00,LAX,443
117.55.239.57,4,4,0.00,233.57,0.00,LAX,443
138.2.59.112,4,4,0.00,236.43,0.00,KIX,443
168.138.51.5,4,4,0.00,236.48,0.00,KIX,443
38.55.194.187,4,4,0.00,239.51,0.00,HKG,443
38.55.133.241,4,4,0.00,241.06,0.00,SJC,443
38.55.106.240,4,4,0.00,248.89,0.00,HKG,443
38.55.108.5,4,4,0.00,263.24,0.00,LAX,443
140.245.97.215,4,4,0.00,286.16,0.00,SIN,443
140.245.65.122,4,4,0.00,288.90,0.00,ICN,443
165.154.230.228,4,4,0.00,297.67,0.00,ICN,443
138.2.66.236,4,4,0.00,302.71,0.00,SIN,443
165.154.235.132,4,4,0.00,303.72,0.00,SAN,443
38.55.192.169,4,4,0.00,312.18,0.00,HKG,443
140.245.104.189,4,4,0.00,314.69,0.00,SIN,443
140.245.103.72,4,4,0.00,317.35,0.00,SIN,443
38.55.99.225,4,4,0.00,322.76,0.00,HKG,443
167.179.115.135,4,4,0.00,325.37,0.00,NRT,443
38.55.105.44,4,4,0.00,337.75,0.00,SEA,443
165.154.202.213,4,4,0.00,365.87,0.00,LAX,443
168.144.47.140,4,4,0.00,372.52,0.00,SIN,443
47.57.181.17,4,4,0.00,376.17,0.00,SJC,443
138.2.110.111,4,4,0.00,381.54,0.00,SIN,443
43.170.38.62,4,4,0.00,387.29,0.00,SIN,443
168.138.189.91,4,4,0.00,390.64,0.00,SIN,443
168.138.176.180,4,4,0.00,400.18,0.00,SIN,443
168.138.46.67,4,4,0.00,401.39,0.00,KIX,443
165.154.194.32,4,4,0.00,401.93,0.00,TPE,443
168.138.29.110,4,4,0.00,404.83,0.00,MEL,443
89.40.117.130,4,4,0.00,406.05,0.00,FRA,443
168.144.44.84,4,4,0.00,414.26,0.00,SIN,443
140.245.53.52,4,4,0.00,416.74,0.00,SIN,443
140.245.58.23,4,4,0.00,417.79,0.00,SIN,443
168.144.33.23,4,4,0.00,418.40,0.00,SIN,443
45.192.206.83,4,4,0.00,426.72,0.00,NRT,443
140.245.45.233,4,4,0.00,427.25,0.00,SIN,443
95.182.94.210,4,4,0.00,437.22,0.00,MCI,443
140.245.114.190,4,4,0.00,450.50,0.00,SIN,443
165.154.42.49,4,4,0.00,457.20,0.00,HKG,443
138.2.44.32,4,4,0.00,481.50,0.00,KIX,443
195.54.33.164,4,4,0.00,523.27,0.00,FRA,443
138.2.76.34,4,4,0.00,540.58,0.00,SIN,443
138.2.31.37,4,4,0.00,557.36,0.00,NRT,443
138.2.95.33,4,4,0.00,557.62,0.00,SIN,443
140.245.127.48,4,4,0.00,560.35,0.00,SIN,443
168.138.22.243,4,4,0.00,654.15,0.00,MEL,443
78.17.102.222,4,4,0.00,683.31,0.00,FRA,443
