IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
54.248.147.134,4,4,0.00,121.56,0.00,NRT,443
52.196.199.221,4,4,0.00,123.75,0.00,NRT,443
54.65.218.189,4,4,0.00,123.77,0.00,NRT,443
52.196.161.169,4,4,0.00,132.08,0.00,NRT,443
54.65.20.242,4,4,0.00,132.77,0.00,NRT,443
52.195.228.243,4,4,0.00,132.89,0.00,NRT,443
43.207.130.241,4,4,0.00,133.03,0.00,NRT,443
54.238.178.84,4,4,0.00,133.12,0.00,NRT,443
35.75.82.176,4,4,0.00,133.97,0.00,NRT,443
54.65.230.253,4,4,0.00,141.88,0.00,NRT,443
54.248.41.45,4,4,0.00,157.29,0.00,NRT,443
52.197.221.186,4,4,0.00,163.81,0.00,NRT,443
54.95.214.241,4,4,0.00,171.41,0.00,NRT,443
57.180.23.249,4,4,0.00,172.00,0.00,NRT,443
35.79.21.45,4,4,0.00,174.33,0.00,NRT,443
18.183.109.205,4,4,0.00,177.83,0.00,NRT,443
54.238.237.167,4,4,0.00,182.86,0.00,NRT,443
13.231.142.11,4,4,0.00,183.20,0.00,NRT,443
52.196.184.224,4,4,0.00,202.48,0.00,NRT,443
52.195.163.105,4,4,0.00,230.09,0.00,NRT,443
13.114.31.181,4,4,0.00,273.23,0.00,NRT,443
18.183.49.46,4,4,0.00,355.53,0.00,NRT,443
