IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
165.154.41.113,4,4,0.00,81.49,0.00,HKG,443
165.154.21.142,4,4,0.00,82.11,0.00,HKG,443
38.55.192.142,4,4,0.00,84.31,0.00,HKG,443
38.55.199.86,4,4,0.00,85.69,0.00,HKG,443
38.55.192.202,4,4,0.00,87.56,0.00,HKG,443
165.154.42.49,4,4,0.00,89.88,0.00,HKG,443
38.55.192.225,4,4,0.00,90.39,0.00,HKG,443
38.55.198.250,4,4,0.00,91.50,0.00,HKG,443
38.55.193.251,4,4,0.00,91.51,0.00,HKG,443
38.55.194.187,4,4,0.00,92.23,0.00,HKG,443
38.55.195.57,4,4,0.00,97.53,0.00,HKG,443
38.55.192.169,4,4,0.00,102.02,0.00,HKG,443
38.55.199.29,4,4,0.00,109.47,0.00,HKG,443
38.55.199.222,4,4,0.00,109.93,0.00,HKG,443
38.55.104.109,4,4,0.00,112.24,0.00,HKG,443
38.55.106.154,4,4,0.00,112.52,0.00,HKG,443
38.55.107.107,4,4,0.00,112.63,0.00,HKG,443
38.55.96.181,4,4,0.00,112.81,0.00,HKG,443
38.55.107.91,4,4,0.00,113.53,0.00,HKG,443
38.55.199.128,4,4,0.00,114.17,0.00,HKG,443
34.150.12.1,4,4,0.00,118.70,0.00,HKG,443
38.55.198.210,4,4,0.00,119.22,0.00,HKG,443
165.154.24.233,4,4,0.00,119.98,0.00,HKG,443
38.55.104.108,4,4,0.00,121.74,0.00,HKG,443
38.55.195.75,4,4,0.00,122.37,0.00,HKG,443
52.195.228.243,4,4,0.00,126.46,0.00,NRT,443
61.109.188.221,4,4,0.00,128.31,0.00,ICN,443
61.13.236.181,4,4,0.00,128.78,0.00,SIN,443
168.144.33.23,4,4,0.00,129.23,0.00,SIN,443
107.148.118.151,4,4,0.00,131.10,0.00,NRT,443
139.59.97.194,4,4,0.00,131.44,0.00,SIN,443
139.59.114.19,4,4,0.00,131.82,0.00,SIN,443
38.55.122.83,4,4,0.00,132.47,0.00,HKG,443
167.172.90.175,4,4,0.00,133.30,0.00,SIN,443
139.59.127.117,4,4,0.00,134.35,0.00,SIN,443
138.2.31.37,4,4,0.00,134.87,0.00,NRT,443
157.230.193.169,4,4,0.00,135.42,0.00,SIN,443
138.2.66.236,4,3,0.25,136.02,0.00,SIN,443
157.230.243.63,4,4,0.00,137.71,0.00,SIN,443
138.2.30.150,4,4,0.00,138.94,0.00,NRT,443
168.138.165.174,4,4,0.00,139.19,0.00,SIN,443
206.189.82.100,4,4,0.00,139.92,0.00,SIN,443
139.59.231.131,4,4,0.00,140.16,0.00,SIN,443
138.2.122.191,4,4,0.00,140.88,0.00,ICN,443
159.65.141.109,4,4,0.00,144.20,0.00,SIN,443
188.166.245.164,4,4,0.00,144.44,0.00,SIN,443
152.67.210.234,4,4,0.00,145.23,0.00,ICN,443
139.59.242.227,4,4,0.00,145.23,0.00,SIN,443
140.245.104.189,4,4,0.00,145.49,0.00,SIN,443
157.230.37.27,4,4,0.00,145.56,0.00,SIN,443
139.59.250.212,4,4,0.00,146.46,0.00,SIN,443
157.230.32.24,4,4,0.00,147.52,0.00,SIN,443
138.2.44.32,4,4,0.00,148.84,0.00,KIX,443
139.59.124.100,4,4,0.00,149.18,0.00,SIN,443
140.245.53.52,4,4,0.00,149.79,0.00,SIN,443
140.245.114.190,4,4,0.00,149.84,0.00,SIN,443
138.2.76.34,4,4,0.00,150.57,0.00,SIN,443
168.138.46.67,4,4,0.00,151.43,0.00,KIX,443
157.230.38.88,4,4,0.00,151.95,0.00,SIN,443
139.59.101.96,4,4,0.00,153.13,0.00,SIN,443
157.230.44.151,4,4,0.00,153.23,0.00,SIN,443
168.144.47.140,4,4,0.00,153.26,0.00,SIN,443
140.245.45.233,4,4,0.00,153.57,0.00,SIN,443
152.42.246.237,4,4,0.00,153.82,0.00,SIN,443
157.230.244.86,4,4,0.00,155.45,0.00,SIN,443
139.59.225.43,4,4,0.00,155.72,0.00,SIN,443
140.245.65.122,4,4,0.00,155.82,0.00,ICN,443
168.144.46.234,4,4,0.00,156.05,0.00,SIN,443
168.144.44.84,4,4,0.00,156.60,0.00,SIN,443
168.144.47.94,4,4,0.00,156.90,0.00,SIN,443
157.230.255.59,4,4,0.00,157.65,0.00,SIN,443
38.55.106.240,4,4,0.00,158.44,0.00,HKG,443
157.230.44.100,4,4,0.00,159.07,0.00,SIN,443
38.55.122.229,4,4,0.00,159.27,0.00,SIN,443
139.59.123.238,4,4,0.00,159.27,0.00,SIN,443
188.166.214.16,4,4,0.00,159.39,0.00,SIN,443
140.245.71.104,4,4,0.00,161.98,0.00,ICN,443
157.230.248.19,4,4,0.00,163.48,0.00,SIN,443
139.59.250.249,4,4,0.00,163.74,0.00,SIN,443
139.59.118.255,4,4,0.00,164.11,0.00,SIN,443
61.109.188.223,4,4,0.00,164.49,0.00,ICN,443
152.175.67.191,4,4,0.00,164.69,0.00,SIN,443
211.110.208.116,4,4,0.00,164.85,0.00,ICN,443
38.55.96.16,4,4,0.00,165.68,0.00,ICN,443
140.245.127.48,4,4,0.00,170.06,0.00,SIN,443
211.49.57.134,4,4,0.00,170.11,0.00,ICN,443
168.138.221.12,4,4,0.00,170.54,0.00,NRT,443
140.245.70.145,4,4,0.00,170.80,0.00,ICN,443
138.2.95.33,4,4,0.00,171.12,0.00,SIN,443
