IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
34.150.12.1,4,4,0.00,62.51,0.00,HKG,443
172.64.155.83,4,4,0.00,112.74,0.00,SIN,443
172.64.229.80,4,4,0.00,122.96,0.00,NRT,443
43.198.186.68,4,4,0.00,142.70,0.00,HKG,443
43.198.95.79,4,4,0.00,147.18,0.00,HKG,443
43.154.4.49,4,4,0.00,157.00,0.00,HKG,443
43.198.84.17,4,4,0.00,166.53,0.00,HKG,443
172.64.229.224,4,4,0.00,178.85,0.00,NRT,443
64.23.252.20,4,4,0.00,237.74,0.00,SJC,443
5.223.60.212,4,4,0.00,312.59,0.00,SIN,443
154.41.80.59,4,4,0.00,320.46,0.00,LAX,443
138.2.108.213,4,4,0.00,384.77,0.00,SIN,443
146.190.87.188,4,4,0.00,404.02,0.00,SIN,443
157.230.32.24,4,4,0.00,404.27,0.00,SIN,443
128.199.119.5,4,4,0.00,405.86,0.00,SIN,443
139.59.102.170,4,4,0.00,406.18,0.00,SIN,443
168.144.44.150,4,4,0.00,409.24,0.00,SIN,443
168.144.39.64,4,4,0.00,411.09,0.00,SIN,443
206.189.82.100,4,4,0.00,412.29,0.00,SIN,443
139.59.115.38,4,4,0.00,413.56,0.00,SIN,443
152.42.161.156,4,4,0.00,413.98,0.00,SIN,443
165.22.59.195,4,4,0.00,416.99,0.00,SIN,443
38.244.2.14,4,4,0.00,421.49,0.00,LAX,443
168.144.35.68,4,4,0.00,430.71,0.00,SIN,443
168.144.44.84,4,4,0.00,431.80,0.00,SIN,443
168.144.44.144,4,4,0.00,432.10,0.00,SIN,443
139.59.123.238,4,4,0.00,432.27,0.00,SIN,443
168.144.47.140,4,4,0.00,435.04,0.00,SIN,443
152.42.217.192,4,4,0.00,435.65,0.00,SIN,443
168.144.33.23,4,4,0.00,438.35,0.00,SIN,443
139.59.124.100,4,4,0.00,448.94,0.00,SIN,443
68.183.230.164,4,4,0.00,448.98,0.00,SIN,443
206.189.155.153,4,4,0.00,449.14,0.00,SIN,443
66.42.61.215,4,4,0.00,453.39,0.00,SIN,443
209.97.163.209,4,4,0.00,456.24,0.00,SIN,443
168.144.41.69,4,4,0.00,474.51,0.00,SIN,443
143.42.66.91,4,4,0.00,501.92,0.00,SIN,443
168.144.47.94,4,4,0.00,515.16,0.00,SIN,443
139.59.115.7,4,4,0.00,517.53,0.00,SIN,443
168.144.46.234,4,4,0.00,519.27,0.00,SIN,443
167.172.90.175,4,4,0.00,535.41,0.00,SIN,443
206.189.95.91,4,4,0.00,542.78,0.00,SIN,443
172.67.172.155,4,4,0.00,544.69,0.00,AMS,443
139.59.118.255,4,4,0.00,553.12,0.00,SIN,443
165.245.181.78,4,4,0.00,562.81,0.00,SIN,443
178.128.117.127,4,4,0.00,566.78,0.00,SIN,443
152.42.235.119,4,4,0.00,583.13,0.00,SIN,443
139.59.97.194,4,4,0.00,603.16,0.00,SIN,443
178.128.125.147,4,4,0.00,611.28,0.00,SIN,443
157.230.254.79,4,4,0.00,691.84,0.00,SIN,443
167.99.69.85,4,4,0.00,702.28,0.00,SIN,443
139.59.115.36,4,4,0.00,713.26,0.00,SIN,443
178.128.97.53,4,4,0.00,715.10,0.00,SIN,443
168.144.36.249,4,4,0.00,729.01,0.00,SIN,443
178.128.209.190,4,4,0.00,762.40,0.00,SIN,443
134.209.102.229,4,4,0.00,786.80,0.00,SIN,443
165.232.165.200,4,4,0.00,843.37,0.00,SIN,443
