IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
140.245.70.145,4,4,0.00,115.92,0.00,ICN,443
38.55.195.75,4,4,0.00,129.15,0.00,HKG,443
38.55.198.250,4,4,0.00,196.18,0.00,HKG,443
38.55.108.22,4,4,0.00,216.93,0.00,LAX,443
168.138.193.193,4,4,0.00,226.43,0.00,NRT,443
45.192.206.83,4,4,0.00,242.71,0.00,NRT,443
138.2.36.218,4,4,0.00,262.32,0.00,KIX,443
138.2.110.111,4,4,0.00,284.90,0.00,SIN,443
38.55.122.229,4,4,0.00,294.04,0.00,SIN,443
157.230.81.23,4,4,0.00,299.40,0.00,EWR,443
82.165.20.186,4,4,0.00,301.11,0.00,TXL,443
139.59.177.252,4,4,0.00,310.74,0.00,LHR,443
139.59.186.121,4,4,0.00,317.74,0.00,LHR,443
139.59.186.54,4,4,0.00,320.96,0.00,LHR,443
139.59.151.190,4,4,0.00,321.81,0.00,FRA,443
139.59.178.6,4,4,0.00,327.72,0.00,LHR,443
157.230.103.183,4,4,0.00,328.31,0.00,FRA,443
139.59.134.132,4,4,0.00,330.26,0.00,FRA,443
157.230.99.89,4,4,0.00,337.52,0.00,FRA,443
157.230.107.183,4,4,0.00,340.85,0.00,FRA,443
38.55.192.142,4,4,0.00,347.11,0.00,HKG,443
165.22.28.246,4,4,0.00,349.12,0.00,FRA,443
139.59.142.185,4,4,0.00,349.91,0.00,FRA,443
157.230.110.242,4,4,0.00,353.43,0.00,FRA,443
139.59.147.28,4,4,0.00,357.05,0.00,FRA,443
168.138.189.91,4,4,0.00,392.13,0.00,SIN,443
157.230.31.170,4,4,0.00,393.36,0.00,FRA,443
139.59.115.7,4,4,0.00,401.32,0.00,SIN,443
157.230.248.19,4,4,0.00,402.14,0.00,SIN,443
157.230.37.27,4,4,0.00,407.74,0.00,SIN,443
167.172.90.175,4,4,0.00,408.13,0.00,SIN,443
140.245.45.233,4,4,0.00,409.37,0.00,SIN,443
139.59.115.38,4,4,0.00,409.55,0.00,SIN,443
168.144.47.94,4,4,0.00,410.77,0.00,SIN,443
157.230.32.24,4,4,0.00,411.10,0.00,SIN,443
139.59.114.19,4,4,0.00,412.31,0.00,SIN,443
139.59.115.36,4,4,0.00,413.63,0.00,SIN,443
157.230.243.63,4,4,0.00,415.10,0.00,SIN,443
139.59.101.96,4,4,0.00,415.18,0.00,SIN,443
139.59.123.238,4,4,0.00,417.25,0.00,SIN,443
139.59.118.255,4,4,0.00,419.18,0.00,SIN,443
139.59.192.91,4,4,0.00,420.73,0.00,SIN,443
157.230.44.151,4,4,0.00,421.03,0.00,SIN,443
139.59.124.100,4,4,0.00,424.86,0.00,SIN,443
157.230.29.88,4,4,0.00,427.11,0.00,FRA,443
157.230.193.169,4,4,0.00,433.91,0.00,SIN,443
152.42.246.237,4,4,0.00,436.29,0.00,SIN,443
87.106.198.216,4,4,0.00,438.97,0.00,FRA,443
157.230.248.87,4,4,0.00,440.08,0.00,SIN,443
139.59.225.43,4,4,0.00,440.86,0.00,SIN,443
139.59.190.23,4,4,0.00,441.75,0.00,LHR,443
159.65.141.109,4,4,0.00,445.08,0.00,SIN,443
139.59.250.212,4,4,0.00,449.83,0.00,SIN,443
139.59.45.54,4,4,0.00,456.65,0.00,BOM,443
157.230.74.71,4,4,0.00,470.87,0.00,SJC,443
168.138.22.243,4,4,0.00,481.68,0.00,MEL,443
167.179.115.135,4,4,0.00,496.20,0.00,NRT,443
138.2.43.153,4,4,0.00,512.68,0.00,KIX,443
139.59.34.159,4,4,0.00,520.87,0.00,BOM,443
139.59.102.170,4,4,0.00,525.94,0.00,SIN,443
188.166.214.16,4,4,0.00,532.45,0.00,SIN,443
188.166.245.164,4,4,0.00,537.45,0.00,SIN,443
139.59.127.117,4,4,0.00,557.51,0.00,SIN,443
139.59.231.131,4,4,0.00,596.58,0.00,SIN,443
138.2.31.37,4,4,0.00,612.28,0.00,NRT,443
138.2.59.112,4,4,0.00,654.64,0.00,LAX,443
140.245.58.23,4,4,0.00,700.19,0.00,SIN,443
206.189.82.100,4,4,0.00,721.39,0.00,SIN,443
157.230.254.79,4,4,0.00,760.39,0.00,SIN,443
157.230.255.59,4,4,0.00,760.40,0.00,SIN,443
139.59.97.194,4,4,0.00,877.78,0.00,SIN,443
