IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
139.59.101.96,4,4,0.00,120.33,0.00,SIN,443
168.144.44.84,4,4,0.00,124.89,0.00,SIN,443
168.144.46.234,4,4,0.00,127.72,0.00,SIN,443
139.59.102.170,4,4,0.00,127.95,0.00,SIN,443
168.144.35.68,4,4,0.00,128.60,0.00,SIN,443
168.144.33.100,4,4,0.00,129.35,0.00,SIN,443
168.144.47.140,4,4,0.00,129.77,0.00,SIN,443
139.59.97.194,4,4,0.00,131.14,0.00,SIN,443
168.144.32.180,4,4,0.00,138.85,0.00,SIN,443
168.144.44.144,4,4,0.00,139.17,0.00,SIN,443
168.144.44.150,4,4,0.00,141.81,0.00,SIN,443
168.144.33.23,4,4,0.00,147.47,0.00,SIN,443
168.144.36.249,4,4,0.00,150.63,0.00,SIN,443
168.144.39.64,4,3,0.25,205.79,0.00,SIN,443
168.144.47.94,4,4,0.00,269.82,0.00,SIN,443
