IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
38.55.107.91,4,4,0.00,84.12,0.00,HKG,443
140.245.65.122,4,4,0.00,93.74,0.00,ICN,443
38.55.104.108,4,4,0.00,112.55,0.00,HKG,443
38.55.99.225,4,4,0.00,121.10,0.00,HKG,443
38.55.106.240,4,4,0.00,126.93,0.00,HKG,443
38.55.199.86,4,4,0.00,133.88,0.00,HKG,443
140.245.70.145,4,4,0.00,134.75,0.00,ICN,443
38.55.96.181,4,4,0.00,136.67,0.00,HKG,443
38.55.194.187,4,4,0.00,137.62,0.00,HKG,443
38.55.195.81,4,4,0.00,138.30,0.00,HKG,443
38.55.104.109,4,4,0.00,145.94,0.00,HKG,443
38.55.192.225,4,4,0.00,172.82,0.00,HKG,443
168.138.221.12,4,4,0.00,173.43,0.00,NRT,443
38.55.96.16,4,4,0.00,193.15,0.00,ICN,443
38.55.107.107,4,4,0.00,208.54,0.00,HKG,443
38.55.195.57,4,4,0.00,208.68,0.00,HKG,443
38.55.195.75,4,4,0.00,211.52,0.00,HKG,443
38.55.108.22,4,4,0.00,212.50,0.00,LAX,443
38.55.111.161,4,4,0.00,218.07,0.00,LAX,443
38.55.198.210,4,4,0.00,218.67,0.00,HKG,443
38.55.106.154,4,4,0.00,220.79,0.00,HKG,443
38.55.108.5,4,4,0.00,228.85,0.00,LAX,443
38.55.122.83,4,4,0.00,231.30,0.00,HKG,443
38.55.199.128,4,4,0.00,234.33,0.00,HKG,443
157.230.74.71,4,4,0.00,237.75,0.00,SJC,443
138.2.30.150,4,4,0.00,243.80,0.00,NRT,443
165.154.173.228,4,4,0.00,244.77,0.00,LAX,443
165.154.42.49,4,4,0.00,255.04,0.00,HKG,443
138.2.43.153,4,4,0.00,259.54,0.00,KIX,443
168.138.46.67,4,4,0.00,259.54,0.00,KIX,443
38.55.133.241,4,4,0.00,259.96,0.00,SJC,443
140.245.97.215,4,4,0.00,275.85,0.00,SIN,443
38.55.99.214,4,4,0.00,278.47,0.00,HKG,443
38.55.199.222,4,4,0.00,282.25,0.00,HKG,443
87.106.198.216,4,4,0.00,286.15,0.00,FRA,443
140.245.103.72,4,4,0.00,296.29,0.00,SIN,443
82.165.20.186,4,4,0.00,299.19,0.00,TXL,443
168.138.176.180,4,4,0.00,300.15,0.00,SIN,443
140.245.127.48,4,4,0.00,302.00,0.00,SIN,443
38.55.193.251,4,4,0.00,305.02,0.00,HKG,443
138.2.110.111,4,4,0.00,309.05,0.00,SIN,443
38.55.122.229,4,4,0.00,309.60,0.00,SIN,443
138.2.76.34,4,4,0.00,313.62,0.00,SIN,443
139.59.190.23,4,4,0.00,315.12,0.00,LHR,443
139.59.177.252,4,4,0.00,315.89,0.00,LHR,443
157.230.103.183,4,4,0.00,323.24,0.00,FRA,443
157.230.29.88,4,4,0.00,325.38,0.00,FRA,443
89.40.117.130,4,4,0.00,331.22,0.00,FRA,443
165.22.28.246,4,4,0.00,331.62,0.00,FRA,443
139.59.186.121,4,4,0.00,331.83,0.00,LHR,443
139.59.134.132,4,4,0.00,334.99,0.00,FRA,443
157.230.97.112,4,4,0.00,335.75,0.00,FRA,443
139.59.178.6,4,4,0.00,336.17,0.00,LHR,443
38.55.105.44,4,4,0.00,337.81,0.00,SEA,443
139.59.151.190,4,4,0.00,338.26,0.00,FRA,443
139.59.142.185,4,4,0.00,344.62,0.00,FRA,443
38.55.198.250,4,4,0.00,350.71,0.00,HKG,443
138.2.31.37,4,4,0.00,357.94,0.00,NRT,443
157.230.81.23,4,4,0.00,364.04,0.00,EWR,443
157.230.107.183,4,4,0.00,372.35,0.00,FRA,443
165.154.194.32,4,4,0.00,401.00,0.00,TPE,443
140.245.53.52,4,4,0.00,402.53,0.00,SIN,443
157.230.244.86,4,4,0.00,410.41,0.00,SIN,443
152.42.246.237,4,4,0.00,411.62,0.00,SIN,443
157.230.44.151,4,4,0.00,412.80,0.00,SIN,443
188.166.214.16,4,4,0.00,412.84,0.00,SIN,443
139.59.147.28,4,4,0.00,415.58,0.00,FRA,443
157.230.37.27,4,4,0.00,415.73,0.00,SIN,443
157.230.44.100,4,4,0.00,419.25,0.00,SIN,443
157.230.193.169,4,4,0.00,420.59,0.00,SIN,443
139.59.101.96,4,4,0.00,421.13,0.00,SIN,443
159.65.141.109,4,4,0.00,421.30,0.00,SIN,443
139.59.115.7,4,4,0.00,422.63,0.00,SIN,443
139.59.102.170,4,4,0.00,423.01,0.00,SIN,443
140.245.58.23,4,4,0.00,423.10,0.00,SIN,443
157.230.110.242,4,4,0.00,427.39,0.00,FRA,443
168.138.193.193,4,4,0.00,431.96,0.00,NRT,443
206.189.82.100,4,4,0.00,432.17,0.00,SIN,443
157.230.38.88,4,4,0.00,432.71,0.00,SIN,443
139.59.242.227,4,4,0.00,433.90,0.00,SIN,443
157.230.243.63,4,4,0.00,437.53,0.00,SIN,443
157.230.248.87,4,4,0.00,438.65,0.00,SIN,443
168.144.47.94,4,4,0.00,442.36,0.00,SIN,443
139.59.34.159,4,4,0.00,448.48,0.00,BOM,443
157.230.254.79,4,4,0.00,451.41,0.00,SIN,443
157.230.255.59,4,4,0.00,464.18,0.00,SIN,443
139.59.45.54,4,4,0.00,466.06,0.00,BOM,443
168.138.22.243,4,4,0.00,482.49,0.00,MEL,443
139.59.114.19,4,4,0.00,500.88,0.00,SIN,443
45.192.206.83,4,3,0.25,541.52,0.00,NRT,443
168.138.189.91,4,4,0.00,543.84,0.00,SIN,443
157.230.248.19,4,4,0.00,550.38,0.00,SIN,443
139.59.127.117,4,4,0.00,563.47,0.00,SIN,443
139.59.250.212,4,4,0.00,587.92,0.00,SIN,443
139.59.97.194,4,4,0.00,597.91,0.00,SIN,443
139.59.192.91,4,4,0.00,604.44,0.00,SIN,443
157.230.99.89,4,4,0.00,608.02,0.00,FRA,443
139.59.186.54,4,4,0.00,646.38,0.00,LHR,443
138.2.59.112,4,4,0.00,659.32,0.00,KIX,443
