IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
54.238.178.84,4,4,0.00,122.00,0.00,NRT,443
35.79.21.45,4,4,0.00,128.60,0.00,NRT,443
54.248.147.134,4,4,0.00,134.39,0.00,NRT,443
13.114.31.181,4,4,0.00,136.35,0.00,NRT,443
54.65.218.189,4,4,0.00,148.38,0.00,NRT,443
52.195.163.105,4,4,0.00,158.90,0.00,NRT,443
52.195.228.243,4,4,0.00,164.84,0.00,NRT,443
52.196.161.169,4,4,0.00,166.39,0.00,NRT,443
52.196.199.221,4,4,0.00,179.73,0.00,NRT,443
52.197.221.186,4,4,0.00,182.11,0.00,NRT,443
54.95.214.241,4,4,0.00,186.06,0.00,NRT,443
18.183.49.46,4,4,0.00,186.25,0.00,NRT,443
13.231.142.11,4,4,0.00,186.40,0.00,NRT,443
57.180.23.249,4,4,0.00,186.56,0.00,NRT,443
35.75.82.176,4,4,0.00,207.42,0.00,NRT,443
43.207.130.241,4,4,0.00,211.93,0.00,NRT,443
54.238.237.167,4,4,0.00,230.21,0.00,NRT,443
18.183.109.205,4,4,0.00,230.64,0.00,NRT,443
54.65.20.242,4,4,0.00,230.80,0.00,NRT,443
52.196.184.224,4,4,0.00,255.92,0.00,NRT,443
54.65.230.253,4,4,0.00,264.49,0.00,NRT,443
54.248.41.45,4,4,0.00,268.64,0.00,NRT,443
