IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
34.150.12.1,4,4,0.00,73.11,0.00,HKG,443
165.154.21.142,4,4,0.00,81.51,0.00,HKG,443
165.154.20.213,4,4,0.00,84.99,0.00,HKG,443
165.154.24.233,4,4,0.00,94.33,0.00,HKG,443
38.55.192.142,4,4,0.00,104.61,0.00,HKG,443
38.55.104.109,4,4,0.00,107.69,0.00,HKG,443
140.245.65.122,4,4,0.00,110.12,0.00,ICN,443
38.55.99.225,4,4,0.00,110.51,0.00,HKG,443
38.55.198.210,4,4,0.00,111.76,0.00,HKG,443
38.55.106.154,4,4,0.00,113.95,0.00,HKG,443
140.245.70.145,4,4,0.00,115.44,0.00,ICN,443
38.55.107.107,4,4,0.00,115.71,0.00,HKG,443
38.55.96.181,4,4,0.00,116.63,0.00,HKG,443
38.55.199.29,4,3,0.25,123.53,0.00,HKG,443
152.67.210.234,4,4,0.00,124.16,0.00,ICN,443
138.2.122.191,4,4,0.00,126.13,0.00,ICN,443
38.55.199.86,4,4,0.00,126.40,0.00,HKG,443
38.55.192.202,4,4,0.00,128.22,0.00,HKG,443
52.195.228.243,4,4,0.00,131.35,0.00,NRT,443
165.154.41.113,4,4,0.00,136.52,0.00,HKG,443
38.55.198.250,4,4,0.00,142.80,0.00,HKG,443
38.55.192.169,4,4,0.00,155.10,0.00,HKG,443
38.55.96.16,4,4,0.00,179.49,0.00,ICN,443
38.55.106.240,4,4,0.00,180.12,0.00,HKG,443
168.138.193.193,4,4,0.00,185.88,0.00,NRT,443
38.55.104.108,4,4,0.00,194.57,0.00,HKG,443
38.55.199.128,4,4,0.00,199.24,0.00,HKG,443
119.205.235.58,4,4,0.00,202.00,0.00,ICN,443
138.2.10.165,4,4,0.00,205.96,0.00,NRT,443
140.245.71.104,4,4,0.00,207.42,0.00,ICN,443
38.55.107.91,4,4,0.00,216.15,0.00,HKG,443
38.55.99.214,4,4,0.00,223.33,0.00,HKG,443
38.55.108.5,4,4,0.00,227.59,0.00,LAX,443
165.154.255.209,4,4,0.00,231.66,0.00,LAX,443
38.55.192.225,4,4,0.00,236.85,0.00,HKG,443
38.244.45.74,4,4,0.00,240.02,0.00,LAX,443
38.55.133.241,4,4,0.00,240.92,0.00,SJC,443
168.138.51.5,4,4,0.00,243.03,0.00,KIX,443
138.2.59.112,4,4,0.00,243.06,0.00,KIX,443
154.41.80.59,4,4,0.00,243.91,0.00,LAX,443
38.55.111.161,4,4,0.00,244.31,0.00,LAX,443
82.139.221.140,4,4,0.00,247.39,0.00,FRA,443
168.138.46.67,4,4,0.00,248.66,0.00,KIX,443
107.148.118.151,4,4,0.00,256.95,0.00,NRT,443
165.154.202.213,4,4,0.00,257.39,0.00,LAX,443
38.55.195.57,4,4,0.00,259.67,0.00,HKG,443
38.55.199.222,4,4,0.00,261.99,0.00,HKG,443
117.55.239.57,4,4,0.00,265.53,0.00,LAX,443
138.2.44.32,4,4,0.00,265.85,0.00,KIX,443
