序号,CIDR归属厂商,CIDR归属地,CIDR,IP数量,IP列表
11,Ipxo,荷兰 北荷兰省 阿姆斯特丹,2.27.169.0/24,42,2.27.169.131;2.27.169.138;2.27.169.43;2.27.169.193;2.27.169.54;2.27.169.105;2.27.169.221;2.27.169.169;2.27.169.161;2.27.169.118;2.27.169.2;2.27.169.249;2.27.169.65;2.27.169.232;2.27.169.61;2.27.169.184;2.27.169.94;2.27.169.145;2.27.169.189;2.27.169.76;2.27.169.226;2.27.169.6;2.27.169.240;2.27.169.171;2.27.169.90;2.27.169.50;2.27.169.72;2.27.169.199;2.27.169.196;2.27.169.42;2.27.169.60;2.27.169.220;2.27.169.74;2.27.169.174;2.27.169.106;2.27.169.235;2.27.169.140;2.27.169.209;2.27.169.237;2.27.169.241;2.27.169.176;2.27.169.51
12,Cloudflare WARP,中華民國 臺灣省 or 台灣省 臺北市,162.158.241.0/24,42,162.158.241.33;162.158.241.251;162.158.241.52;162.158.241.37;162.158.241.210;162.158.241.243;162.158.241.73;162.158.241.29;162.158.241.123;162.158.241.170;162.158.241.127;162.158.241.111;162.158.241.99;162.158.241.216;162.158.241.24;162.158.241.78;162.158.241.48;162.158.241.250;162.158.241.206;162.158.241.88;162.158.241.221;162.158.241.65;162.158.241.131;162.158.241.147;162.158.241.152;162.158.241.74;162.158.241.197;162.158.241.102;162.158.241.176;162.158.241.125;162.158.241.71;162.158.241.7;162.158.241.104;162.158.241.145;162.158.241.9;162.158.241.84;162.158.241.203;162.158.241.247;162.158.241.95;162.158.241.201;162.158.241.119;162.158.241.207
13,Greenhost BV,荷兰 北荷兰省 阿姆斯特丹,31.57.196.0/24,41,31.57.196.200;31.57.196.23;31.57.196.19;31.57.196.120;31.57.196.71;31.57.196.35;31.57.196.241;31.57.196.243;31.57.196.147;31.57.196.75;31.57.196.109;31.57.196.240;31.57.196.139;31.57.196.40;31.57.196.185;31.57.196.80;31.57.196.167;31.57.196.165;31.57.196.157;31.57.196.14;31.57.196.17;31.57.196.202;31.57.196.52;31.57.196.193;31.57.196.38;31.57.196.31;31.57.196.102;31.57.196.215;31.57.196.95;31.57.196.162;31.57.196.88;31.57.196.70;31.57.196.237;31.57.196.39;31.57.196.159;31.57.196.204;31.57.196.20;31.57.196.4;31.57.196.143;31.57.196.220;31.57.196.65
14,Cloudflare WARP,美国 加利福尼亚州 聖荷西,172.69.23.0/24,39,172.69.23.115;172.69.23.202;172.69.23.129;172.69.23.144;172.69.23.203;172.69.23.37;172.69.23.118;172.69.23.137;172.69.23.43;172.69.23.136;172.69.23.88;172.69.23.107;172.69.23.82;172.69.23.183;172.69.23.79;172.69.23.101;172.69.23.35;172.69.23.11;172.69.23.124;172.69.23.156;172.69.23.178;172.69.23.46;172.69.23.160;172.69.23.67;172.69.23.152;172.69.23.58;172.69.23.110;172.69.23.89;172.69.23.86;172.69.23.77;172.69.23.90;172.69.23.157;172.69.23.198;172.69.23.81;172.69.23.188;172.69.23.161;172.69.23.15;172.69.23.41;172.69.23.127
15,Cloudflare WARP,美国 加利福尼亚州 聖荷西,172.71.157.0/24,39,172.71.157.174;172.71.157.152;172.71.157.158;172.71.157.140;172.71.157.139;172.71.157.156;172.71.157.93;172.71.157.27;172.71.157.187;172.71.157.113;172.71.157.22;172.71.157.186;172.71.157.51;172.71.157.143;172.71.157.60;172.71.157.75;172.71.157.28;172.71.157.151;172.71.157.219;172.71.157.121;172.71.157.48;172.71.157.47;172.71.157.194;172.71.157.179;172.71.157.18;172.71.157.131;172.71.157.214;172.71.157.120;172.71.157.183;172.71.157.26;172.71.157.111;172.71.157.56;172.71.157.169;172.71.157.91;172.71.157.66;172.71.157.115;172.71.157.8;172.71.157.210;172.71.157.168
16,Cloudflare WARP,美国 加利福尼亚州 聖荷西,172.71.154.0/24,38,172.71.154.123;172.71.154.163;172.71.154.85;172.71.154.113;172.71.154.130;172.71.154.222;172.71.154.167;172.71.154.136;172.71.154.74;172.71.154.161;172.71.154.129;172.71.154.211;172.71.154.12;172.71.154.137;172.71.154.93;172.71.154.151;172.71.154.210;172.71.154.101;172.71.154.214;172.71.154.21;172.71.154.201;172.71.154.165;172.71.154.184;172.71.154.250;172.71.154.120;172.71.154.79;172.71.154.77;172.71.154.141;172.71.154.251;172.71.154.181;172.71.154.183;172.71.154.112;172.71.154.133;172.71.154.76;172.71.154.152;172.71.154.33;172.71.154.36;172.71.154.188
17,Cloudflare WARP,美国 加利福尼亚州 聖荷西,104.22.20.0/24,37,104.22.20.179;104.22.20.77;104.22.20.149;104.22.20.40;104.22.20.121;104.22.20.203;104.22.20.59;104.22.20.103;104.22.20.76;104.22.20.205;104.22.20.66;104.22.20.73;104.22.20.166;104.22.20.55;104.22.20.11;104.22.20.172;104.22.20.19;104.22.20.173;104.22.20.85;104.22.20.220;104.22.20.180;104.22.20.217;104.22.20.214;104.22.20.204;104.22.20.53;104.22.20.116;104.22.20.178;104.22.20.15;104.22.20.195;104.22.20.222;104.22.20.124;104.22.20.92;104.22.20.148;104.22.20.56;104.22.20.17;104.22.20.118;104.22.20.106
18,Cloudflare WARP,美国 加利福尼亚州 聖荷西,162.158.167.0/24,37,162.158.167.35;162.158.167.50;162.158.167.219;162.158.167.145;162.158.167.134;162.158.167.56;162.158.167.161;162.158.167.156;162.158.167.162;162.158.167.202;162.158.167.100;162.158.167.88;162.158.167.133;162.158.167.82;162.158.167.32;162.158.167.149;162.158.167.216;162.158.167.152;162.158.167.200;162.158.167.150;162.158.167.220;162.158.167.68;162.158.167.105;162.158.167.31;162.158.167.54;162.158.167.87;162.158.167.110;162.158.167.129;162.158.167.122;162.158.167.142;162.158.167.90;162.158.167.147;162.158.167.103;162.158.167.80;162.158.167.212;162.158.167.157;162.158.167.113
19,"Cloudflare, Inc.",加拿大 安大略 多伦多,172.65.90.0/24,36,172.65.90.83;172.65.90.82;172.65.90.48;172.65.90.6;172.65.90.51;172.65.90.60;172.65.90.45;172.65.90.41;172.65.90.57;172.65.90.91;172.65.90.35;172.65.90.5;172.65.90.81;172.65.90.9;172.65.90.46;172.65.90.62;172.65.90.2;172.65.90.7;172.65.90.32;172.65.90.40;172.65.90.90;172.65.90.78;172.65.90.44;172.65.90.33;172.65.90.80;172.65.90.22;172.65.90.34;172.65.90.11;172.65.90.85;172.65.90.56;172.65.90.47;172.65.90.10;172.65.90.49;172.65.90.50;172.65.90.63;172.65.90.4
20,Cloudflare WARP,美国 加利福尼亚州 聖荷西,172.69.135.0/24,36,172.69.135.57;172.69.135.108;172.69.135.159;172.69.135.149;172.69.135.120;172.69.135.67;172.69.135.191;172.69.135.158;172.69.135.170;172.69.135.113;172.69.135.9;172.69.135.107;172.69.135.166;172.69.135.189;172.69.135.181;172.69.135.16;172.69.135.72;172.69.135.89;172.69.135.40;172.69.135.6;172.69.135.73;172.69.135.46;172.69.135.47;172.69.135.174;172.69.135.25;172.69.135.111;172.69.135.161;172.69.135.36;172.69.135.118;172.69.135.128;172.69.135.105;172.69.135.134;172.69.135.116;172.69.135.91;172.69.135.70;172.69.135.179
