IP 地址,平均延迟,下载速度(MB/s),地区码
18.183.114.116,149.64,4.89,NRT
18.183.124.180,156.72,2.35,NRT
18.183.141.249,143.75,15.55,NRT
18.183.148.100,164.32,2.57,NRT
18.183.159.8,182.39,2.62,NRT
18.183.165.244,168.24,2.62,NRT
18.183.174.64,161.52,2.55,NRT
18.183.210.40,152.11,2.62,NRT
18.183.225.98,126.17,18.88,NRT
18.183.229.103,125.95,2.61,NRT
18.183.255.209,740.26,0.00,NRT
34.39.62.53,233.17,0.00,LHR
34.136.112.104,118.67,0.00,ORD
34.150.12.1,76.37,25.11,HKG
35.75.82.176,145.37,18.88,NRT
35.75.102.4,127.43,16.10,NRT
35.75.235.11,131.46,0.00,NRT
35.79.21.45,173.67,18.88,NRT
35.79.24.34,150.02,2.61,NRT
35.79.28.54,290.85,0.00,NRT
35.79.123.51,130.62,0.00,NRT
35.79.135.77,129.95,0.00,NRT
35.79.170.43,147.55,0.00,NRT
38.244.2.14,130.12,28.32,SJC
38.244.2.64,63.43,28.45,LAX
38.244.2.165,74.38,28.37,SJC
38.244.2.166,59.68,0.26,LAX
38.244.2.214,81.37,28.34,SJC
38.244.2.241,80.05,28.32,SJC
38.244.10.130,58.53,5.50,LAX
38.244.12.48,83.13,5.44,LAX
38.244.13.20,59.17,28.40,LAX
38.244.22.170,96.37,40.06,LAX
38.244.25.17,102.38,1.23,LAX
38.244.25.136,76.70,6.65,LAX
38.244.25.175,86.71,8.49,LAX
38.244.27.36,61.43,6.51,LAX
38.244.31.9,76.51,10.03,LAX
38.244.34.62,88.15,11.43,LAX
38.244.38.219,91.06,2.61,LAX
38.244.42.161,63.43,10.48,LAX
38.244.45.74,95.20,28.53,LAX
38.244.50.212,100.25,1.67,LAX
38.244.59.145,82.21,57.81,PDX
38.244.60.93,79.07,77.40,LAX
43.132.231.159,237.68,0.00,HKG
43.133.61.219,248.68,0.00,SIN
43.134.174.114,259.23,0.00,SIN
43.154.4.49,64.38,3.23,HKG
43.154.33.183,43.61,15.76,HKG
43.154.165.21,49.55,0.00,HKG
43.168.16.112,217.69,0.00,HKG
43.170.8.95,140.13,0.00,NRT
43.170.38.62,237.28,0.00,SIN
43.198.73.198,97.01,17.83,HKG
43.198.74.93,97.14,16.67,HKG
43.198.82.38,175.92,12.06,HKG
43.198.84.17,176.38,0.00,HKG
43.198.84.185,193.42,11.90,HKG
43.198.85.96,174.12,11.80,HKG
43.198.87.223,98.85,0.00,HKG
43.198.88.106,96.42,0.00,HKG
43.198.91.248,187.48,11.91,HKG
43.198.95.79,88.91,0.00,HKG
43.198.99.158,94.98,17.29,HKG
43.198.102.250,172.77,12.15,HKG
43.198.110.200,365.32,0.00,HKG
43.198.111.34,212.46,11.95,HKG
43.198.152.251,187.43,0.00,HKG
43.198.154.224,102.02,0.00,HKG
43.198.184.185,94.51,0.00,HKG
43.198.204.35,159.56,23.76,HKG
43.198.210.249,179.98,0.00,HKG
43.198.227.93,98.38,16.88,HKG
43.198.240.148,172.59,11.32,HKG
43.198.243.252,180.04,11.90,HKG
43.198.244.82,181.34,10.20,HKG
43.198.251.142,174.25,16.50,HKG
43.207.39.212,149.09,2.62,NRT
43.207.55.7,188.18,2.61,NRT
43.207.65.219,184.86,2.62,NRT
43.207.66.64,166.73,2.61,NRT
43.207.72.242,187.26,2.61,NRT
43.207.77.189,124.59,0.00,NRT
43.207.112.141,187.33,16.43,NRT
43.207.117.52,189.36,5.12,NRT
43.207.122.8,130.82,18.89,NRT
43.207.122.183,135.55,0.00,NRT
43.207.126.231,167.91,2.62,NRT
43.207.130.241,130.55,18.98,NRT
43.207.131.6,171.60,19.01,NRT
43.207.132.64,189.03,2.62,NRT
43.207.222.111,149.53,5.13,NRT
43.207.222.177,168.93,2.60,NRT
45.32.35.100,141.60,0.00,NRT
45.63.122.193,144.20,0.00,NRT
45.77.21.148,117.05,0.00,NRT
47.79.78.40,254.55,0.00,HKG
47.79.255.2,237.90,0.00,SIN
47.79.255.194,316.23,0.00,SIN
47.79.255.228,241.82,0.00,SIN
47.82.155.79,275.29,0.00,SIN
47.84.54.115,378.90,0.00,SIN
47.236.119.109,281.48,0.00,SIN
47.239.4.246,213.08,0.00,HKG
52.195.11.120,508.56,2.61,NRT
52.195.18.120,130.18,19.28,NRT
52.195.32.229,307.30,0.00,NRT
52.195.80.151,186.07,2.56,NRT
52.195.163.105,193.78,18.89,NRT
52.195.163.206,127.17,5.12,NRT
52.195.167.248,225.55,2.55,NRT
52.195.179.117,182.81,2.62,NRT
52.195.211.96,129.74,0.00,NRT
52.195.211.175,156.17,0.00,NRT
52.195.222.35,92.68,17.64,NRT
52.195.228.243,126.39,0.00,NRT
52.196.42.76,129.12,17.12,NRT
52.196.63.84,158.82,0.00,NRT
52.196.161.169,130.43,17.79,NRT
52.196.184.224,128.29,17.54,NRT
52.196.199.221,138.83,18.91,NRT
52.196.205.49,130.68,0.00,NRT
52.197.46.127,108.41,0.00,NRT
52.197.119.11,108.52,0.00,NRT
52.197.163.59,107.19,0.00,NRT
52.197.219.243,138.66,0.00,NRT
52.197.221.186,122.50,17.29,NRT
52.197.247.0,108.23,0.00,NRT
54.65.2.249,141.70,0.00,NRT
54.65.16.21,188.85,19.21,NRT
54.65.20.242,126.32,0.00,NRT
54.65.140.102,188.75,2.62,NRT
54.65.168.160,143.75,0.00,NRT
54.65.218.189,125.03,16.13,NRT
54.65.224.78,130.24,0.00,NRT
54.65.230.253,193.69,14.83,NRT
54.65.235.225,173.68,2.55,NRT
54.95.2.216,126.92,16.13,NRT
54.95.21.10,128.00,0.00,NRT
54.95.66.108,216.27,18.88,NRT
54.95.70.87,131.21,15.50,NRT
54.95.87.207,130.40,2.59,NRT
54.95.106.234,129.32,0.00,NRT
54.95.132.154,124.34,18.19,NRT
54.95.160.208,134.98,18.88,NRT
54.95.178.88,123.12,18.88,NRT
54.95.179.41,143.99,18.88,NRT
54.95.214.241,128.76,18.88,NRT
54.238.43.23,129.52,18.92,NRT
54.238.178.84,191.65,18.88,NRT
54.238.196.15,145.12,2.62,NRT
54.238.199.145,140.27,0.00,NRT
54.238.237.167,150.53,0.00,NRT
54.248.15.203,109.13,0.00,NRT
54.248.41.45,181.22,17.81,NRT
54.248.48.160,121.87,2.62,NRT
54.248.73.184,129.02,18.88,NRT
54.248.146.165,108.25,0.00,NRT
54.248.147.134,127.94,0.00,NRT
54.248.173.81,128.36,18.88,NRT
54.248.177.247,183.53,19.12,NRT
54.248.180.118,189.38,18.88,NRT
54.248.227.16,123.90,22.37,NRT
54.248.254.51,109.85,0.00,NRT
57.180.22.144,136.15,4.91,NRT
57.180.23.249,164.92,18.88,NRT
57.180.44.121,129.08,0.00,NRT
57.180.48.227,150.04,0.00,NRT
57.180.51.63,152.61,18.89,NRT
57.180.65.102,148.21,2.57,NRT
57.180.168.118,144.64,16.71,NRT
57.182.89.177,124.00,0.00,NRT
57.182.103.115,129.20,0.00,NRT
57.182.245.144,153.24,18.88,NRT
57.182.250.153,127.97,5.12,NRT
64.23.252.20,68.13,0.00,SJC
64.23.252.144,105.46,0.00,SJC
64.110.104.30,140.86,0.00,KIX
64.110.104.119,183.22,0.00,KIX
64.176.35.110,141.23,0.00,KIX
64.176.35.237,138.23,0.00,KIX
64.176.36.17,146.06,0.00,KIX
64.176.44.23,134.47,0.00,KIX
64.181.247.243,83.03,0.00,SJC
68.183.225.227,222.26,0.00,SIN
68.183.227.180,240.49,0.00,SIN
68.183.227.216,269.49,0.00,SIN
78.17.126.61,220.72,0.00,AMS
78.17.126.90,184.43,0.00,AMS
78.17.131.105,188.41,0.00,FRA
78.17.131.122,218.50,0.00,FRA
89.125.85.101,242.82,0.00,AMS
89.125.85.228,178.77,0.00,AMS
89.125.253.49,191.90,0.00,AMS
89.168.110.240,212.25,0.00,FRA
91.110.209.45,454.41,5.32,HKG
91.110.209.65,782.91,15.65,HKG
91.110.209.66,222.71,9.30,HKG
91.110.209.68,171.76,5.05,HKG
91.110.209.74,171.04,3.94,HKG
91.110.209.80,167.88,7.70,HKG
91.110.209.81,175.29,9.25,HKG
91.110.209.90,166.67,1.01,HKG
91.110.209.98,173.52,1.70,HKG
96.126.129.13,242.72,0.00,FRA
96.126.129.134,214.09,0.00,FRA
101.96.234.244,218.78,23.74,HKG
107.191.53.84,137.64,0.00,NRT
107.191.53.148,138.11,0.00,NRT
108.160.132.132,137.58,0.00,NRT
128.199.82.20,244.93,0.00,SIN
128.199.119.5,270.28,0.00,SIN
128.199.128.117,213.71,0.00,SIN
