IP 地址,平均延迟,下载速度(MB/s),地区码
159.89.17.163,193.02,6.18,FRA
159.89.23.85,182.46,7.09,FRA
159.89.24.237,183.84,7.30,FRA
159.89.28.70,200.36,6.05,FRA
159.89.29.231,195.90,6.58,FRA
159.89.91.17,101.11,19.52,EWR
159.89.96.200,195.51,7.52,FRA
159.89.99.21,199.97,5.93,FRA
159.89.102.242,200.82,6.86,FRA
159.89.107.10,191.81,6.84,FRA
159.89.119.38,119.97,12.22,YYZ
159.89.126.9,142.29,11.92,YYZ
159.89.150.204,47.60,56.64,SJC
159.89.182.67,123.13,24.05,EWR
159.89.182.131,98.52,17.78,EWR
159.89.197.111,224.10,6.07,SIN
159.89.199.63,217.55,9.44,SIN
159.89.205.201,218.57,0.00,SIN
159.223.78.76,250.50,0.00,SIN
159.223.78.215,293.56,0.00,SIN
159.223.85.53,462.51,0.00,MRS
164.92.88.190,70.93,0.00,SJC
165.22.25.168,236.58,0.00,AMS
165.22.26.67,254.58,0.00,FRA
165.22.26.104,198.60,0.00,FRA
165.22.28.246,196.29,0.00,FRA
165.22.59.251,239.20,0.00,SIN
165.22.80.22,340.08,0.00,FRA
165.22.80.143,204.24,0.00,FRA
165.22.87.79,245.63,0.00,FRA
165.22.99.110,242.20,0.00,SIN
165.22.99.214,247.72,0.00,SIN
165.22.102.5,302.84,0.00,SIN
165.22.102.89,227.89,0.00,SIN
165.22.102.249,251.82,0.00,SIN
165.22.104.36,251.24,0.00,SIN
165.22.130.178,49.69,0.00,SJC
165.22.176.55,128.75,0.00,EWR
165.232.161.8,288.38,0.00,SIN
165.232.165.200,238.79,0.00,SIN
165.232.175.180,209.49,0.00,SIN
165.245.176.192,280.64,0.00,SIN
165.245.178.114,239.81,0.00,SIN
165.245.181.70,260.02,0.00,SIN
165.245.181.71,286.01,0.00,SIN
165.245.181.72,216.40,0.00,SIN
165.245.181.74,247.54,0.00,SIN
165.245.181.78,254.73,0.00,SIN
165.245.182.116,245.90,0.00,SIN
167.71.195.238,311.24,0.00,SIN
167.71.203.125,239.91,0.00,SIN
167.71.203.179,246.83,0.00,SIN
167.71.213.95,258.67,0.00,SIN
167.71.220.89,259.22,0.00,SIN
167.99.69.85,256.59,0.00,SIN
167.99.71.38,230.26,0.00,SIN
167.99.77.156,245.94,0.00,SIN
167.99.77.174,397.37,0.00,HKG
167.172.65.175,312.15,0.00,SIN
167.172.68.31,247.32,0.00,SIN
167.172.75.2,261.31,0.00,SIN
167.172.75.10,226.67,0.00,SIN
167.172.87.163,217.95,0.00,SIN
167.172.90.175,261.34,0.00,SIN
168.138.22.243,297.89,0.00,MEL
168.138.46.67,142.77,0.00,KIX
168.138.165.174,213.05,0.00,SIN
168.138.189.91,277.06,0.00,SIN
168.138.193.193,136.50,0.00,NRT
168.144.32.180,267.94,0.00,SIN
168.144.33.23,215.79,0.00,SIN
168.144.33.100,221.29,0.00,SIN
168.144.35.68,378.81,0.00,HKG
168.144.36.249,255.57,0.00,SIN
168.144.39.64,253.18,0.00,SIN
168.144.41.69,251.02,0.00,SIN
168.144.44.84,290.08,0.00,SIN
168.144.44.150,228.29,0.00,SIN
168.144.46.234,268.79,0.00,SIN
168.144.47.94,272.99,0.00,SIN
168.144.47.140,215.56,0.00,SIN
168.144.47.173,271.34,0.00,SIN
172.104.80.248,136.90,0.00,NRT
172.104.81.253,242.24,0.00,NRT
172.104.86.229,156.44,0.00,NRT
172.104.120.92,140.55,0.00,NRT
174.138.17.183,225.06,0.00,SIN
174.138.20.108,218.86,0.00,SIN
174.138.24.13,364.43,0.00,SIN
174.138.27.228,302.21,0.00,SIN
176.119.141.11,186.58,0.00,AMS
176.119.141.76,262.04,0.00,AMS
176.119.141.145,199.77,0.00,AMS
176.119.141.154,207.35,0.00,AMS
178.128.3.90,38.93,72.39,SJC
178.128.20.158,202.36,14.46,SIN
178.128.32.104,179.71,11.55,LHR
178.128.34.102,174.60,9.14,LHR
178.128.38.31,170.08,11.19,LHR
178.128.42.47,174.25,9.00,LHR
178.128.60.89,232.56,0.00,SIN
178.128.70.6,31.74,77.29,SJC
178.128.86.3,236.38,0.00,SIN
178.128.90.108,232.29,0.00,SIN
178.128.104.166,214.73,8.48,SIN
178.128.125.147,241.36,0.00,SIN
178.128.135.52,92.90,51.25,EWR
178.128.156.108,92.27,16.08,EWR
178.128.160.19,175.14,9.44,LHR
178.128.164.237,179.70,12.03,LHR
178.128.165.20,174.22,11.76,LHR
178.128.168.108,172.63,9.22,LHR
178.128.170.200,172.21,9.65,LHR
178.128.171.159,281.85,13.01,LHR
178.128.174.229,176.60,11.21,LHR
178.128.190.138,30.08,66.16,SJC
178.128.202.124,189.05,10.37,FRA
178.128.226.224,106.49,25.08,YYZ
178.128.227.189,105.08,15.47,YYZ
178.128.231.7,104.03,17.46,YYZ
178.128.242.39,167.09,17.69,AMS
178.128.244.54,158.83,12.60,AMS
178.128.246.60,161.62,18.72,AMS
178.128.246.143,160.79,17.73,AMS
178.128.247.83,165.59,12.42,AMS
178.128.248.161,167.72,21.18,AMS
185.233.184.13,194.51,0.00,AMS
185.233.184.70,177.61,0.00,AMS
185.233.184.81,214.24,0.00,AMS
185.243.10.109,194.14,12.70,FRA
185.243.10.229,191.21,6.15,FRA
185.243.112.48,184.70,11.79,AMS
185.243.112.197,185.03,11.12,AMS
185.243.215.71,180.64,5.79,ARN
188.166.214.16,243.63,0.00,SIN
188.166.234.172,228.09,0.00,SIN
188.166.234.177,228.96,0.00,SIN
188.166.245.41,287.56,0.00,SIN
188.166.245.164,266.61,0.00,SIN
188.166.245.252,321.20,0.00,SIN
188.166.247.45,261.70,0.00,SIN
195.245.239.124,270.56,0.00,FRA
206.189.82.255,237.18,0.00,SIN
206.189.95.91,252.55,0.00,SIN
206.189.95.233,263.64,0.00,SIN
206.189.147.193,291.77,0.00,NRT
206.189.155.153,244.73,0.00,SIN
209.97.162.112,225.97,0.00,SIN
209.97.163.209,251.88,0.00,SIN
212.16.78.22,223.35,0.00,AMS
216.155.157.220,167.70,0.00,EWR
217.11.166.197,180.98,0.00,FRA
